ID,Title,Version,Status,Priority,Severity,Type,Reproducibility,Reporter,Assignee,Description,"Expected results","Steps to reproduce",Device,Tags,Comments,"Created at","Updated at"
1,"Email field validation starts as user enters first character.",desktop-prod,Closed,Critical,Critical,Functional,Always,"Nikhil Teredesai","Varun Bhardwaj","As user enters fist character in the email field, its starts validation f email so user see error as Please enter valid email.

http://screencast.com/t/tk8xBWVAfSW","The email validation should be done after user enters full address. We can validate as user clicks Continue button.
","1. Go to purplle.com; 2. Add any product to cart without sign in.; 3. Go to cart page and click on Checkout",,,1,"28/07/2016 10:05:25 ","10/01/2017 06:55:37 "
2,"My Order history don't show details for delayed and cancelled shipment",desktop-prod,"Not a Bug",High,Major,Functional,Always,"Nikhil Teredesai","Varun Bhardwaj","My Order doesn't show the details of 
1. delayed 
2. cancelled shipments
3. Partially shipped","All above should be visible in My Order history.",,,,0,"28/07/2016 10:19:44 ","22/12/2016 06:54:15 "
10,"Sorts on search results not working",desktop-prod,"Not a Bug",Medium,Major,Functional,Always,vikram1,"Varun Bhardwaj","Sorting are not working on search results","Sorting should work on search result","1. Search by lakme and go to the search result page; 2. Click on  low price/high price etc sortings; 3. See results are not displayed as per sorting done by user","Windows PC",,0,"29/07/2016 14:53:03 ","03/10/2016 09:48:47 "
40,"Banner not displayed  on production homepage",desktop-prod,"Not a Bug",High,Minor,Visual,Always,vikram1,"Varun Bhardwaj","Banner is missing on production homepage-- refer  the screenshot","Banner should be present on production homepage",,"Windows PC",,0,"02/08/2016 06:12:52 ","03/10/2016 09:49:40 "
43,"Product is hidden under quick look widget.",desktop-prod,Closed,High,Major,"User input data",Always,archana,"Varun Bhardwaj","Product is hidden under quick look widget.

Actual Result:
After cliking on blank space product details page is getting open (product is hidden)","Blank space should not be present .Products should be present.

","1. Open home page.; 2. Click on Quick look tab of product ""Jaguar Classic Black for Men Spray EDT (100 ml)""; 3. Click on Blank space.","Windows PC Lenovo Generic/All Windows 10 Chrome Latest",,2,"02/08/2016 07:04:31 ","03/10/2016 09:50:35 "
73,"The loader needs to be given separate space on stories list page",desktop-prod,Closed,Medium,Minor,Suggestion,Always,vikram1,"Varun Bhardwaj","Footer on browse isnt looking good, the loader needs to give separate space  on stories list page","The loader needs to give separate space ","1. Go to stories list page; 2. Go to bottom and see the loader; 3. Loader needs a separate space","Windows PC",,0,"05/08/2016 09:08:59 ","03/10/2016 09:58:28 "
75,"Link on purplle logo at footer",desktop-prod,Closed,Low,Minor,Functional,Always,vikram1,"Varun Bhardwaj","If user is clicking on purplle logo which is at footer, link is going to purplle.com/logo, . -- please refer the screenshot","it should go to purplle.com itself","1. Go to homepage; 2. go to footer; 3. click on purplle logo at footer; 4. See the link going to purplle.com/shop, it should go to purplle.com  itself","Windows PC",,2,"05/08/2016 09:43:12 ","04/01/2017 06:49:10 "
78,"Cancel order is not working on live website",desktop-prod,Closed,Critical,Critical,Functional,Always,"Nirali Thakkar","Varun Bhardwaj","Cancel order is not working on live website.  Only the loader is running.

Note: it gets cancel after refreshing the page ",,"1. perform complete order; 2. go to my order; 3. click on cancel, only the loader keeps running","Windows PC Lenovo Generic/All Windows 8",,0,"06/08/2016 10:44:34 ","03/10/2016 11:42:18 "
79,"Mobile number validation on Add address page.",desktop-prod,Resolved,Medium,Minor,Usability,Always,"Nikhil Teredesai","Varun Bhardwaj","When user enters first digit in number text field then it stars showing ","This verification should be done after moving focus out to different field OR on submit button.","1. Log in to website; 2. Select any product & add to cart.; 3. Go to cart & do checkout.; 4. While doing checkout add new address.",,,1,"06/08/2016 12:40:56 ","10/01/2017 14:21:26 "
84,"Wrong rating graph is being shown for ""maybelline-bb-stick-radiance-pack-of-3""",desktop-prod,Resolved,Medium,Minor,Visual,Always,vikram1,"Varun Bhardwaj","Wrong rating graph is being shown for ""maybelline-bb-stick-radiance-pack-of-3""

Link : http://purplle.com/product/maybelline-bb-stick-radiance-pack-of-3

","Proper rating graph should be shown","1. Go to link : http://purplle.com/product/maybelline-bb-stick-radiance-pack-of-3; 2. Go to rating graph; 3. Compare the number of ratings and the ratings present on graph; 4. See its mismatching; 5. Refer the screenshot","Windows PC",,0,"08/08/2016 11:01:01 ","04/01/2017 06:25:37 "
93,"If google searched  result is opened in new tab, link is not opening in new tab",desktop-prod,Closed,Medium,Minor,Usability,Always,vikram1,"Varun Bhardwaj","If user is searching for a product or category in google, and if he opens that result in new tab, the link doesnt get opened","Link should open in new tab","1. Go to google.com; 2. Search for ""Purfumes in purplle""; 3. GO to any result and open the result in new tab; 4. Go to that new tab, see link is not dislaying anyting; 5. Now if user refreshes the page, link works","Windows PC",,1,"09/08/2016 13:59:04 ","04/01/2017 06:46:25 "
98,"Save Rs. 0 (0%)  is appearing in story details page",desktop-prod,Resolved,High,Major,Functional,Always,"Nirali Thakkar","Varun Bhardwaj","Save Rs. 0 (0%)  is appearing in story details page

Note: http://purplle.com/story/best-cosmopolitan-covers-2015-2f58a4-574","Anything with 0 should not appear in any of the pages. ","1. open website; 2. click on browse; 3. click on story which does not have any discount; 4. Save Rs. 0 (0%)  is appearing in story details page","Windows PC Lenovo Generic/All Windows 8 Chrome Latest",,0,"16/08/2016 09:06:09 ","04/01/2017 07:17:52 "
99,"discount with < 5% is also appearing on the page",desktop-prod,Closed,High,Major,Functional,Always,"Nirali Thakkar","Varun Bhardwaj","discount with < 5% is also appearing on the page

Note: As per requirement discount with 5% or <5 should not appear on the page

http://purplle.com/story/x-86d9c2-259","discount with 5% or <5 should not appear on the page","1. open website; 2. click on browse; 3. click on any story which has 5 or < 5 %; 4. the discount is appearing","Windows PC Lenovo Generic/All Windows 8 Chrome Latest",,0,"16/08/2016 09:09:21 ","04/10/2016 09:13:01 "
101,"remove ""a"" from ""via a email"" from the birthday bonanza popup",desktop-prod,New,Medium,Major,Visual,Always,"Nirali Thakkar","Varun Bhardwaj","remove ""a"" from ""via a email"" from the birthday bonanza popup",,"1. click on birthday bonanza popup","Windows PC Lenovo Generic/All Windows 8 Chrome Latest",,0,"16/08/2016 09:25:23 ","04/10/2016 09:13:53 "
